symbol,date,open,high,low,close,volume,fut_oi,fut_oi_change,call_oi,put_oi,call_oi_change,put_oi_change,total_oi,pcr_oi,pcr_volume,atm_call_oi,atm_put_oi,atm_pcr,otm_call_oi,otm_put_oi,max_pain,max_pain_distance,return_1d,return_5d,return_10d,return_20d,intraday_range_pct,close_to_high_pct,gap_pct,sma_20,sma_50,price_vs_sma20,price_vs_sma50,log_return,rsi_14,rsi_signal,macd,macd_signal,macd_histogram,bb_position,bb_width,sma_crossover_5_20,ema_crossover_9_21,stochastic_k,stochastic_d,atr_pct,iv_current,iv_percentile,iv_rank,delta_proxy,gamma_proxy,theta_proxy,vega_proxy,iv_hv_ratio,pcr,pcr_ma5,pcr_change,max_pain_distance_pct,call_oi_change_pct,put_oi_change_pct,oi_buildup_signal,hv_10,hv_20,hv_ratio,volatility_regime,volatility_trend,range_volatility,momentum_5d,momentum_10d,trend_strength,price_acceleration,volume_trend,oi_trend,future_return,label,_symbol
NIFTY,2024-01-01,21849.8,22025.0,21811.2,21888.9,10930900,12621600,-168750,141497825,160731175,22149350,27625600,314850600,1.135926824316911,0.8633515958929785,69982800,49189750,0.702883422783884,56374700,109094175,21000.0,-0.040609624056028464,0.0,0.0,0.0,0.0,0.009767507732229544,0.36342376052368874,0.0,21888.9,21888.9,0.0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0,0,36.34237605236888,36.34237605236888,0.009767507732229544,0.09299632459139714,100.0,0.0,0.5,0.0,0.0,0.0,0.0,1.135926824316911,1.135926824316911,0.0,-0.040609624056028464,0.0,0.0,0,0.0,0.0,0.0,0,0,0.009767507732229544,0.0,0.0,0.0,0.0,0.0,0.0,-0.00603730658004753,0.0,NIFTY
NIFTY,2024-01-02,21820.0,21869.95,21674.0,21756.75,16784700,11836050,-785550,174991175,161531425,33493350,800250,348358650,0.9230832640560303,0.9522067535188964,84986000,55013150,0.6473201468477161,76526700,103596275,21000.0,-0.03478230893860526,-0.00603730658004753,0.0,0.0,0.0,0.009006400312546714,0.4223016075527301,-0.00314771413821624,21822.825,21822.825,-0.0030277931477707964,-0.0030277931477707964,-0.006055604800569104,0.0,-1,-2.964903846153902,-1.6471688034188345,-1.3177350427350676,0.32322330470327515,0.017127784534550862,0,-1,23.57549857549186,29.95893731393037,0.009852114860905254,0.08947249792479657,50.0,0.0,0.049539803868058375,0.0,-0.10642523787472524,0.0,0.0,0.9230832640560303,1.0295050441864706,-0.2128435602608807,-0.03478230893860526,0.23670575855141238,0.004978810115710284,1,0.0,0.0,0.0,0,0,0.009386954022388129,0.0,0.0,49.999999999843766,0.0,0.21120957150485653,0.05052409929445334,-0.0072046606225654175,0.0,NIFTY
NIFTY,2024-01-03,21729.9,21729.9,21579.0,21600.0,13561600,11837550,1500,236011625,180611325,61020450,19079900,428460500,0.7652645288129345,0.9212934338423879,132655900,79458600,0.5989827817684702,91462050,97728225,22000.0,0.018518518518518517,-0.0072046606225654175,0.0,0.0,0.0,0.006986111111111178,0.1391650099402643,-0.0012340997621427163,21748.55,21748.55,-0.006830340413498837,-0.006830340413498837,-0.0072307395251651795,0.0,-1,-8.638684114976058,-4.5125439311062205,-4.126140183869838,0.24321424112037557,0.026599373903370672,0,-1,4.708520179371142,21.542131602410624,0.009358796296296308,0.08251132312725803,33.33333333333333,0.0,0.0,0.0011673540425178874,-0.16818299501385736,0.0,6.296883869944742,0.7652645288129345,0.9414248723952919,-0.15781873524309575,0.018518518518518517,0.3487058704531814,0.1181188118658645,1,0.013103516628502428,0.013103516628502428,0.9999999923684609,0,0,0.008586673051962479,0.0,0.0,66.66666666647545,-0.0011673540425178874,-0.014351748665122566,0.17744537668099714,0.008608796296296406,1.0,NIFTY
NIFTY,2024-01-04,21640.0,21810.0,21616.1,21785.95,12177400,11625050,-212500,265231475,264716175,29219850,84104850,541572700,0.9980571687428877,1.0120245939506476,181397800,115943450,0.6391667925410341,70156450,146038425,21650.0,-0.006240260351281478,0.008608796296296406,0.0,0.0,0.0,0.008900231571265033,0.8759669932950661,0.001851851851851852,21757.9,21757.9,0.0012891869160167602,0.0012891869160167602,0.008571951915632717,39.159734653048304,0,-4.293864467465028,-4.438465522013676,0.14460105454864802,0.5586540952457439,0.02197948686469007,0,-1,46.40134529146958,24.895121348777526,0.009368996991180104,0.08317546643575528,50.0,0.0633422231207629,0.4308777409428662,0.008490405480689855,-0.20012092928851835,0.0,0.5945758281557154,0.9980571687428877,0.9555829464821909,0.23279263992995325,-0.006240260351281478,0.1238068251934624,0.46566764293435087,1,0.13989042681788033,0.13989042681788033,0.9999999992851547,0,0,0.008665062681788117,0.0,0.0,62.17579250702957,0.015813456918861823,-0.08876691622423516,0.32637429305122456,0.0003626190274006458,1.0,NIFTY
NIFTY,2024-01-05,21779.8,21831.0,21677.0,21793.85,13503000,11861300,236250,123407925,133596525,37120900,28154850,268865750,1.0825603380009834,0.9357748160747137,58533700,43076400,0.735924774958699,51957850,87819575,21000.0,-0.0364254135914489,0.0003626190274006458,0.0,0.0,0.0,0.007066213633662708,0.7587662337657317,-0.00028229202766009537,21765.09,21765.09,0.0013213820847972624,0.0013213820847972624,0.00036255329701070926,40.15535991714108,0,-1.5281986228546884,-3.572726915647961,2.0445282927932724,0.5686199161094013,0.01925653891339481,0,-1,48.17264573989919,33.094170403579966,0.008905723403620754,0.08028395230127824,20.0,0.0,0.47134227214649416,0.00840899607675849,-0.024204112395194544,0.0,0.6967966371881982,1.0825603380009834,0.9809784247859493,0.08450316925809565,-0.0364254135914489,0.13995661713980212,0.10635863108856117,1,0.11521862756911476,0.11521862756911476,0.9999999991320848,0,0,0.008345292872163037,0.0,0.0,57.60742068426877,-0.00824617726889576,0.008324671135166106,-0.2932427555908754,-0.009833049231778634,0.0,NIFTY
NIFTY,2024-01-08,21789.5,21810.9,21562.75,21579.55,14503400,11760350,-100950,158449675,133495825,35041750,-100700,303705850,0.8425124570309154,1.005675479515982,77629000,53557950,0.6899219363897513,69171300,76662725,21000.0,-0.02685644510659394,-0.009833049231778634,-0.0141327339427747,0.0,0.0,0.011499313006990482,0.06770098730603427,-0.00019959759289884738,21734.166666666668,21734.166666666668,-0.007113991027951516,-0.007113991027951516,-0.009881712931527937,27.81005666738379,-1,-9.0005268044697,-5.043962465354608,-3.9565643391150926,0.17922247355522977,0.022177336133231716,-1,-1,3.6343969713349136,32.73612933423456,0.009411688380897672,0.08575930896546026,66.66666666666666,0.4307108457928681,0.32254876514558567,0.008855664122363688,-0.04527964408175689,0.0,0.7292697169357506,0.8425124570309154,0.9222955513287502,-0.24004788097006802,-0.02685644510659394,0.2839505647631625,-0.0007537621206839025,0,0.11759614707830898,0.11759614707830898,0.999999999149632,0,0,0.008870962894634278,-0.0141327339427747,0.0,57.14296564114099,-0.01019566825917928,0.06824615460158845,-0.19695473225566573,0.0017284883141677199,1.0,NIFTY
NIFTY,2024-01-09,21680.2,21807.8,21592.4,21616.85,15813900,11713500,-46850,163555425,143930425,5105750,10434600,319199350,0.8800100944374055,1.0200839333322747,82373400,61398400,0.7453668295833363,69404750,79253625,21700.0,0.00384653638249798,0.0017284883141677199,-0.0064301883323566456,0.0,0.0,0.009964449029345063,0.11350974930355612,0.00466413803809632,21717.407142857144,21717.407142857144,-0.004630255453410226,-0.004630255453410226,0.0017269961973984426,31.476816232041713,0,-11.947819865392376,-6.791144595148264,-5.156675270244111,0.2880384064842365,0.021844785069835098,-1,-1,11.703623580310836,21.170222097181647,0.00956165478054654,0.08708244109535755,71.42857142857143,0.5347930807442088,0.3869013923792309,0.009396838807080221,-0.034197560987081134,0.0004977469760394544,0.7972027256686793,0.8800100944374055,0.9136809174050253,0.03749763740649015,0.00384653638249798,0.0322231648629131,0.07816424221506553,1,0.10923500160212585,0.10923500160212585,0.9999999990845425,0,0,0.00902717519959296,-0.0064301883323566456,0.0,56.81121203890286,0.011561537545946354,0.13798420764246488,-0.14276872247814032,0.004267504284851897,1.0,NIFTY
NIFTY,2024-01-10,21579.8,21737.0,21501.0,21709.1,13978900,11488300,-225200,186240175,197661125,22684750,53730700,395389600,1.0613237718446087,0.9887018109972473,115650200,87602500,0.7574781539504472,58269550,107030925,21500.0,-0.009631905514277356,0.004267504284851897,0.005050925925925931,0.0,0.0,0.010871017223192118,0.8817796610165693,-0.0017139407452981944,21716.36875,21716.36875,-0.0003347129570178131,-0.0003347129570178131,0.0042584243118246245,39.12412291313796,0,-9.344572935686301,-7.40478144261014,-1.9397914930761608,0.4834567025328993,0.02023254177020816,-1,-1,39.71374045800741,18.35058700321772,0.009689772952356398,0.08938306563331228,75.0,0.7157683123809848,0.46365325799118573,0.00967117119271348,-0.03594775964773293,0.00011299849359455195,0.837661333527906,1.0613237718446087,0.9728927660113602,0.18131367740720317,-0.009631905514277356,0.13869763109355743,0.3733102295779367,1,0.10670549298616805,0.10670549298616805,0.9999999990628412,0,1,0.009257655452542856,0.005050925925925931,0.0,57.52013616719131,0.0025390159706841775,0.005189935085363473,0.08104776899528687,-0.0014118503300458718,0.0,NIFTY
NIFTY,2024-01-11,21758.1,21773.8,21627.0,21678.45,11307100,11717550,229250,288486575,246805525,102246400,49144400,547009650,0.8555182333874636,1.0360391300821294,187190900,127299050,0.6800493506895902,88669050,116390625,21650.0,-0.0013123631993985144,-0.0014118503300458718,-0.004934372841211898,0.0,0.0,0.006771701851377717,0.3504768392368252,0.0022571179827814143,21712.155555555553,21712.155555555553,-0.0015523818199123518,-0.0015523818199123518,-0.0014128479298080236,37.725284339457474,0,-8.92034979089658,-7.754885249837655,-1.1654645410589248,0.4186048537626275,0.019072166974023644,-1,-1,33.86450381678757,28.427289285035272,0.009377720475608016,0.08697004656839305,55.55555555555556,0.5259517312686488,0.4609624907768597,0.0076443507319206684,-0.05984240012467792,0.0008563937831617199,0.8802605577742114,0.8555182333874636,0.9443849789402753,-0.2058055384571451,-0.0013123631993985144,0.5490029205567488,0.248629567397231,1,0.09880034463917783,0.09880034463917783,0.9999999989878579,0,-1,0.008981438385746728,-0.004934372841211898,0.0,56.91759486389507,-0.005679354614897769,-0.1696870698566998,0.4911638243822738,0.012387878284655818,1.0,NIFTY
NIFTY,2024-01-12,21745.0,21995.0,21731.0,21947.0,15091200,11930100,212550,125055975,179302675,35041000,76386000,316288750,1.4337793536054555,0.8017275909085152,57411650,53913100,0.9390620196423548,52272300,122597775,21000.0,-0.04314940538570192,0.012387878284655818,0.007027211805165301,0.0,0.0,0.012028978903722605,0.8181818181815083,0.0030698689251306838,21735.64,21735.64,0.009724121304916844,0.009724121304916844,0.012311776370071656,52.58038728015628,0,5.343198033322551,-4.820154251718651,10.163352285041203,0.9308384407658654,0.02257022675977266,-1,1,85.11450381677764,52.89758269719088,0.009779013076958129,0.09018153611396756,90.0,0.7785788135330691,0.5890093484200754,0.008755061001081855,-0.07619450881743586,0.0007367587896842795,0.7703796892175533,1.4337793536054555,1.0146287820611697,0.5782611202179919,-0.04314940538570192,0.12146492432100177,0.30949874400097,1,0.11706115477748863,0.11706115477748863,0.9999999991457457,0,0,0.009286192437544315,0.007027211805165301,0.0,52.213977669993064,0.01379972861470169,0.09632907888800823,-0.15951877908572376,0.008488631703649663,1.0,NIFTY
