INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,48490.0,48490.0,47567.0,47621.85,47621.85,192242,1382272.22,2363010,462915,08-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,48550.05,48672.7,47922.0,47966.15,47966.15,10721,77615.9,197445,-6420,08-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,48872.05,48970.0,48230.0,48273.4,48273.4,2619,19070.81,71595,-600,08-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21570.6,21649.95,21343.9,21367.3,21367.3,2828,24295.43,55800,1960,08-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21684.85,21700.0,21488.0,21508.5,21508.5,60,518.42,1400,-960,08-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,21913.65,22088.05,21637.85,21637.85,21637.85,4,34.92,160,0,08-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10555.05,10574.35,10391.4,10409.75,10409.75,6501,51067.56,714600,16725,08-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10590.05,10590.05,10431.0,10442.55,10442.55,71,558.38,8100,375,08-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10501.05,10510.2,10451.7,10458.9,10458.9,8,62.92,3075,225,08-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21789.5,21810.9,21562.75,21579.55,21579.55,145034,1571438.27,11760350,-100950,08-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21928.0,21945.0,21705.0,21718.3,21718.3,11360,123846.51,1173550,51400,08-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22049.85,22070.0,21839.0,21852.35,21852.35,3270,35872.58,216500,-800,08-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,628.15,628.45,598.05,600.35,600.35,7923,48158.74,11997000,931000,08-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,635.4,635.4,603.65,605.6,605.6,811,4969.23,2586000,212000,08-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,638.5,638.5,609.5,611.35,611.35,74,456.52,114000,51000,08-JAN-2024,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4853.45,4853.45,4745.1,4765.7,4765.7,1081,6478.1,1014750,-10625,08-JAN-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4870.0,4880.0,4793.0,4804.2,4804.2,23,138.74,12750,-625,08-JAN-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,0.0,0.0,0.0,4960.25,4824.15,0,0.0,1875,0,08-JAN-2024,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,24105.9,24165.0,23641.5,23687.05,23687.05,1160,11079.59,193640,-5040,08-JAN-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,24252.0,24299.05,23820.45,23860.25,23860.25,7,67.43,2080,120,08-JAN-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,0.0,0.0,0.0,24354.45,24010.65,0,0.0,40,0,08-JAN-2024,
FUTSTK,ABCAPITAL,25-Jan-2024,0.0,XX,176.85,179.3,174.55,175.8,175.8,3724,35600.67,71182800,-129600,08-JAN-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,178.2,180.65,176.25,177.2,177.2,203,1956.67,2143800,91800,08-JAN-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,179.35,182.0,178.0,178.5,178.5,16,155.3,221400,-5400,08-JAN-2024,
FUTSTK,ABFRL,25-Jan-2024,0.0,XX,239.25,239.4,230.45,231.1,231.1,4221,25641.95,30815200,93600,08-JAN-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,240.05,240.35,231.5,232.25,232.25,531,3238.68,1645800,392600,08-JAN-2024,
FUTSTK,ABFRL,28-Mar-2024,0.0,XX,236.15,238.6,233.35,233.65,233.65,46,281.48,343200,57200,08-JAN-2024,
FUTSTK,ACC,25-Jan-2024,0.0,XX,2404.05,2418.3,2336.4,2358.9,2358.9,3691,26164.93,3579600,-6900,08-JAN-2024,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2426.0,2433.6,2357.7,2378.55,2378.55,189,1350.59,175200,19200,08-JAN-2024,
FUTSTK,ACC,28-Mar-2024,0.0,XX,2434.3,2434.3,2384.3,2397.0,2397.0,11,79.19,5100,1500,08-JAN-2024,
FUTSTK,ADANIENT,25-Jan-2024,0.0,XX,3034.15,3042.45,2963.25,2975.25,2975.25,7638,68768.52,13067100,-20100,08-JAN-2024,
FUTSTK,ADANIENT,29-Feb-2024,0.0,XX,3050.7,3066.75,2991.0,3000.55,3000.55,534,4848.24,411900,29400,08-JAN-2024,
FUTSTK,ADANIENT,28-Mar-2024,0.0,XX,3086.0,3086.0,3028.6,3030.4,3030.4,26,237.92,31800,3900,08-JAN-2024,
FUTSTK,ADANIPORTS,25-Jan-2024,0.0,XX,1162.95,1187.0,1155.15,1172.65,1172.65,20666,193922.43,43068000,-392800,08-JAN-2024,
FUTSTK,ADANIPORTS,29-Feb-2024,0.0,XX,1172.1,1196.0,1165.25,1183.15,1183.15,1162,10991.04,942400,30400,08-JAN-2024,
FUTSTK,ADANIPORTS,28-Mar-2024,0.0,XX,1184.45,1203.3,1176.0,1194.25,1194.25,154,1469.97,86400,9600,08-JAN-2024,
FUTSTK,ALKEM,25-Jan-2024,0.0,XX,5257.3,5257.3,5129.95,5172.65,5172.65,914,9456.6,947800,14200,08-JAN-2024,
FUTSTK,ALKEM,29-Feb-2024,0.0,XX,5171.0,5171.0,5120.2,5151.85,5151.85,29,298.57,14600,800,08-JAN-2024,
FUTSTK,ALKEM,28-Mar-2024,0.0,XX,0.0,0.0,0.0,5220.0,5281.15,0,0.0,1600,0,08-JAN-2024,
FUTSTK,AMBUJACEM,25-Jan-2024,0.0,XX,545.5,545.9,529.45,531.35,531.35,6440,62047.8,47149200,-244800,08-JAN-2024,
