INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,46250.0,46465.25,45678.9,46385.05,46385.05,218899,1513467.85,2822010,-297555,15-FEB-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,46500.0,46767.9,46010.0,46693.45,46693.45,16431,114485.56,298200,14640,15-FEB-2024,
FUTIDX,BANKNIFTY,25-Apr-2024,0.0,XX,46859.9,47098.95,46360.0,47039.45,47039.45,3025,21219.42,59175,3360,15-FEB-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,20395.05,20498.0,20245.05,20472.4,20472.4,2040,16658.32,82560,6360,15-FEB-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,20655.0,20655.0,20406.1,20634.7,20634.7,82,673.92,3600,320,15-FEB-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0.0,XX,20577.05,20902.7,20501.1,20902.7,20902.7,8,66.13,200,-40,15-FEB-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10829.75,10929.95,10795.75,10909.7,10909.7,8462,68986.93,676650,-10875,15-FEB-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10820.0,10920.85,10804.25,10906.2,10906.2,224,1825.88,21900,4800,15-FEB-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0.0,XX,10858.15,10901.55,10823.75,10901.35,11051.2,12,97.78,3675,75,15-FEB-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21970.2,22027.95,21846.0,22005.05,22005.05,164763,1808331.28,11450650,-367650,15-FEB-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22074.7,22169.95,21996.25,22149.6,22149.6,13118,144984.23,1154950,93050,15-FEB-2024,
FUTIDX,NIFTY,25-Apr-2024,0.0,XX,22209.0,22307.25,22140.05,22287.05,22287.05,4079,45391.72,478500,94300,15-FEB-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,674.05,689.25,674.05,685.55,685.55,3253,22261.59,9592000,-323000,15-FEB-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,682.75,693.7,682.5,690.05,690.05,814,5606.21,2943000,242000,15-FEB-2024,
FUTSTK,AARTIIND,25-Apr-2024,0.0,XX,684.0,696.35,684.0,695.2,695.2,32,221.95,344000,-11000,15-FEB-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4598.9,4601.3,4478.15,4489.7,4489.7,3245,18266.5,1424250,22375,15-FEB-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4606.6,4606.6,4508.0,4517.95,4517.95,288,1629.91,91000,14875,15-FEB-2024,
FUTSTK,ABB,25-Apr-2024,0.0,XX,4585.0,4585.0,4543.55,4543.55,4526.8,7,39.93,3875,125,15-FEB-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,29108.15,29552.45,29051.6,29270.5,29270.5,479,5600.94,187600,-2200,15-FEB-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,29500.0,29584.85,29261.95,29497.9,29497.9,26,306.32,5160,80,15-FEB-2024,
FUTSTK,ABBOTINDIA,25-Apr-2024,0.0,XX,0.0,0.0,0.0,29674.35,29563.5,0,0.0,480,0,15-FEB-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,183.7,184.0,181.25,182.0,182.0,1909,18786.87,60998400,-172800,15-FEB-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,184.9,185.25,182.65,183.2,183.2,283,2805.54,4114800,550800,15-FEB-2024,
FUTSTK,ABCAPITAL,25-Apr-2024,0.0,XX,186.3,186.3,184.5,184.5,184.5,9,90.03,540000,32400,15-FEB-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,247.8,248.9,235.05,238.85,238.85,776,4869.51,43758000,-2007200,15-FEB-2024,
FUTSTK,ABFRL,28-Mar-2024,0.0,XX,236.75,236.75,232.3,232.3,240.35,2,12.19,2002000,-5200,15-FEB-2024,
FUTSTK,ABFRL,25-Apr-2024,0.0,XX,238.5,238.5,238.5,238.5,241.6,1,6.2,223600,-2600,15-FEB-2024,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2659.6,2667.6,2617.55,2648.45,2648.45,2072,16428.97,4490400,13200,15-FEB-2024,
FUTSTK,ACC,28-Mar-2024,0.0,XX,2667.75,2684.55,2639.1,2666.65,2666.65,180,1437.56,162900,2400,15-FEB-2024,
FUTSTK,ACC,25-Apr-2024,0.0,XX,2696.3,2696.3,2666.55,2675.0,2672.05,5,40.27,9300,-1200,15-FEB-2024,
FUTSTK,ADANIENT,29-Feb-2024,0.0,XX,3233.5,3267.35,3202.9,3209.1,3209.1,8785,85146.71,13745400,525000,15-FEB-2024,
FUTSTK,ADANIENT,28-Mar-2024,0.0,XX,3255.15,3291.0,3226.5,3233.6,3233.6,909,8868.52,701700,56400,15-FEB-2024,
FUTSTK,ADANIENT,25-Apr-2024,0.0,XX,3291.95,3315.65,3255.0,3260.95,3260.95,170,1671.92,270300,25800,15-FEB-2024,
