SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AVIANSH, SM, 02-Jan-2026,116.5,116.75,117.25,116.75,117.25,117.25,117.07,18000,21.07,14, 18000, 100.00
AVL, EQ, 02-Jan-2026,482.0,491.0,491.0,480.0,481.5,483.55,484.14,94285,456.47,6931, 58094, 61.62
AVONMORE, EQ, 02-Jan-2026,18.69,18.55,18.99,18.51,18.72,18.65,18.6,112619,20.95,346, 87464, 77.66
AVPINFRA, SM, 02-Jan-2026,118.35,118.1,121.45,118.1,119.05,119.7,119.28,44000,52.48,50, 36800, 83.64
AVROIND, EQ, 02-Jan-2026,118.94,118.84,119.99,116.21,119.75,117.78,118.45,5466,6.47,604, 2684, 49.10
AVTNPL, EQ, 02-Jan-2026,67.03,68.22,68.22,66.81,67.5,67.51,67.37,26608,17.93,570, 20025, 75.26
AWFIS, EQ, 02-Jan-2026,498.4,498.4,500.1,492.0,495.95,493.9,495.22,43553,215.68,2658, 21778, 50.00
AWHCL, EQ, 02-Jan-2026,486.0,490.0,495.05,484.3,493.8,492.65,490.33,93619,459.04,4511, 31896, 34.07
AWL, EQ, 02-Jan-2026,239.45,240.0,240.0,234.1,234.5,236.27,237.64,2541764,6040.29,19741, 1850672, 72.81
AXISBANK, EQ, 02-Jan-2026,1274.4,1273.9,1281.8,1264.3,1269.0,1266.9,1271.65,5860547,74525.38,211555, 4315363, 73.63
AXISBNKETF, EQ, 02-Jan-2026,613.1,614.0,618.74,614.0,618.12,617.08,616.75,819,5.05,50, 614, 74.97
AXISBPSETF, EQ, 02-Jan-2026,13.12,13.44,13.44,13.05,13.13,13.12,13.11,184418,24.18,435, 148335, 80.43
AXISCADES, BE, 02-Jan-2026,1342.7,1342.0,1384.1,1320.0,1369.5,1373.8,1350.59,34730,469.06,1566, -, -
AXISCETF, EQ, 02-Jan-2026,126.49,124.9,127.14,124.9,126.1,125.76,126.05,13575,17.11,66, 8988, 66.21
AXISGOLD, EQ, 02-Jan-2026,111.43,113.63,113.63,111.48,112.92,112.9,112.38,1721212,1934.37,4114, 1473672, 85.62
AXISHCETF, EQ, 02-Jan-2026,148.77,148.77,149.7,148.03,149.7,149.29,149.2,3113,4.64,69, 1779, 57.15
AXISILVER, EQ, 02-Jan-2026,225.11,225.66,232.9,218.3,230.9,230.91,229.91,1248058,2869.37,7144, 646449, 51.80
AXISNIFTY, EQ, 02-Jan-2026,286.71,289.49,289.49,286.84,289.18,288.97,288.58,44435,128.23,183, 44224, 99.53
AXISTECETF, EQ, 02-Jan-2026,416.47,415.48,418.29,415.29,418.29,418.03,415.91,6585,27.39,91, 4505, 68.41
AXISVALUE, EQ, 02-Jan-2026,31.69,32.08,32.32,31.41,32.29,32.28,32.09,68142,21.87,254, 64426, 94.55
AXITA, BE, 02-Jan-2026,12.35,11.74,11.74,11.74,11.74,11.74,11.74,186776,21.93,585, -, -
AXSENSEX, EQ, 02-Jan-2026,87.8,87.6,88.29,87.6,88.1,88.09,88.09,1092,0.96,44, 886, 81.14
AYMSYNTEX, EQ, 02-Jan-2026,170.58,172.25,173.6,167.5,169.01,170.22,169.19,5900,9.98,643, 2321, 39.34
AZAD, EQ, 02-Jan-2026,1625.8,1626.0,1656.0,1626.0,1655.0,1652.8,1646.35,62473,1028.52,7415, 37650, 60.27
BABAFP, SM, 02-Jan-2026,33.25,33.9,33.9,31.35,32.1,32.1,32.81,6400,2.1,4, 4800, 75.00
BAFNAPH, BE, 02-Jan-2026,148.39,148.39,152.5,145.35,151.9,151.15,149.45,2574,3.85,48, -, -
BAGDIGITAL, SM, 02-Jan-2026,120.0,121.5,122.25,121.5,122.25,122.25,121.88,3200,3.9,2, 3200, 100.00
BAGFILMS, EQ, 02-Jan-2026,6.27,6.23,6.39,6.17,6.26,6.27,6.25,157900,9.87,340, 133867, 84.78
BAHETI, SM, 02-Jan-2026,605.1,617.0,617.0,607.0,610.9,609.4,609.63,18000,109.73,40, 12375, 68.75
