INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,45949.9,45999.9,44803.75,45090.85,45090.85,222753,1512847.47,3223110,106170,12-FEB-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,46298.95,46299.0,45156.0,45433.6,45433.6,19020,129954.92,306930,57315,12-FEB-2024,
FUTIDX,BANKNIFTY,25-Apr-2024,0.0,XX,46605.85,46605.85,45510.0,45771.45,45771.45,3802,26211.09,49065,10890,12-FEB-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,20239.0,20292.55,19914.35,19996.8,19996.8,3977,31926.61,96440,14840,12-FEB-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,20469.75,20483.25,20107.0,20166.5,20166.5,61,493.36,3880,960,12-FEB-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0.0,XX,20525.2,20525.2,20200.1,20200.1,20200.1,5,40.62,240,80,12-FEB-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10765.0,10768.85,10615.25,10640.2,10640.2,9638,77333.41,852150,60375,12-FEB-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10764.85,10768.0,10628.25,10651.9,10651.9,162,1300.28,14325,825,12-FEB-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0.0,XX,10710.35,10715.0,10643.15,10643.15,10643.15,7,56.16,2475,-75,12-FEB-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21905.6,22088.65,21662.0,21697.85,21697.85,134426,1462199.32,11851500,166600,12-FEB-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,21949.4,22041.1,21813.4,21842.0,21842.0,10891,119208.38,971800,-27600,12-FEB-2024,
FUTIDX,NIFTY,25-Apr-2024,0.0,XX,22150.95,22179.5,21966.0,21992.2,21992.2,2530,27889.64,361150,4450,12-FEB-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,667.25,705.0,666.0,677.2,677.2,11447,78474.85,10450000,-588000,12-FEB-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,672.45,710.1,671.65,682.8,682.8,1673,11526.54,2364000,342000,12-FEB-2024,
FUTSTK,AARTIIND,25-Apr-2024,0.0,XX,677.9,714.0,677.6,687.05,687.05,86,598.01,325000,20000,12-FEB-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4515.25,4563.8,4408.05,4427.8,4427.8,2049,11467.99,1378375,1875,12-FEB-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4550.0,4598.1,4442.65,4458.3,4458.3,79,446.39,40250,250,12-FEB-2024,
FUTSTK,ABB,25-Apr-2024,0.0,XX,4504.5,4504.5,4504.5,4504.5,4504.5,1,5.63,3750,0,12-FEB-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,28052.15,28829.2,27913.8,28632.8,28632.8,1965,22429.37,192040,9720,12-FEB-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,28745.0,28960.0,28694.8,28832.0,28832.0,16,184.23,2560,40,12-FEB-2024,
FUTSTK,ABBOTINDIA,25-Apr-2024,0.0,XX,0.0,0.0,0.0,28000.0,28863.7,0,0.0,360,0,12-FEB-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,189.55,189.65,180.15,180.9,180.9,3359,33282.56,61317000,2214000,12-FEB-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,189.85,190.35,181.6,182.45,182.45,323,3225.74,2743200,307800,12-FEB-2024,
FUTSTK,ABCAPITAL,25-Apr-2024,0.0,XX,191.25,191.25,183.85,184.15,182.85,26,260.88,459000,59400,12-FEB-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,253.0,255.7,239.95,241.65,241.65,6892,44146.96,49025600,2002000,12-FEB-2024,
FUTSTK,ABFRL,28-Mar-2024,0.0,XX,254.6,256.35,240.45,242.5,242.5,1187,7593.65,2085200,891800,12-FEB-2024,
FUTSTK,ABFRL,25-Apr-2024,0.0,XX,257.0,257.25,243.15,243.9,243.9,52,334.72,231400,36400,12-FEB-2024,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2653.95,2699.25,2622.7,2645.0,2645.0,6845,54575.55,4481100,78000,12-FEB-2024,
