INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,48502.05,48625.0,47982.0,48388.45,48388.45,176646,1280418.5,1900095,-146370,05-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,48884.3,48932.4,48320.55,48718.3,48718.3,7616,55597.58,203865,-675,05-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,49100.05,49207.35,48640.0,49009.7,49009.7,2201,16165.65,72195,-2295,05-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21661.45,21701.45,21456.9,21612.1,21612.1,3405,29390.11,53840,-22880,05-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21814.9,21814.9,21625.0,21777.5,21777.5,48,416.75,2360,-40,05-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,21858.65,21924.55,21858.65,21897.3,21897.3,3,26.26,160,0,05-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10594.05,10628.6,10482.0,10570.1,10570.1,4927,38997.26,697875,37050,05-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10614.35,10630.05,10501.0,10610.2,10610.2,57,452.22,7725,600,05-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10588.05,10798.9,10502.8,10614.3,10614.3,39,308.89,2850,2250,05-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21779.8,21831.0,21677.0,21793.85,21793.85,135030,1469518.43,11861300,236250,05-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21937.95,21963.95,21817.7,21928.2,21928.2,8509,93204.46,1122150,49000,05-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22049.95,22088.9,21950.0,22060.4,22060.4,2190,24127.84,217300,3400,05-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,650.95,652.3,623.45,632.95,632.95,4526,28734.69,11066000,-115000,05-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,655.85,657.1,628.85,638.45,638.45,391,2498.09,2374000,55000,05-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,651.25,651.25,638.0,644.55,644.55,18,115.99,63000,9000,05-JAN-2024,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4851.4,4931.6,4816.5,4848.7,4848.7,2005,12217.93,1025375,35875,05-JAN-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4892.45,4961.0,4860.6,4885.05,4885.05,78,479.44,13375,750,05-JAN-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4962.0,4993.05,4960.0,4960.25,4907.05,10,62.19,1875,1250,05-JAN-2024,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,23700.0,24164.4,23607.7,24028.25,24028.25,1915,18340.08,198680,8880,05-JAN-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,23999.15,24326.75,23999.15,24114.8,24114.8,32,309.31,1960,-80,05-JAN-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,24354.45,24354.45,24354.45,24354.45,24253.25,1,9.74,40,40,05-JAN-2024,
FUTSTK,ABCAPITAL,25-Jan-2024,0.0,XX,176.0,180.1,173.6,176.15,176.15,7528,72115.99,71312400,-2462400,05-JAN-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,177.55,181.5,175.05,177.6,177.6,398,3842.72,2052000,37800,05-JAN-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,179.3,182.8,177.0,179.15,179.15,48,467.34,226800,64800,05-JAN-2024,
FUTSTK,ABFRL,25-Jan-2024,0.0,XX,248.55,250.9,234.85,238.85,238.85,6880,43312.44,30721600,-491400,05-JAN-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,250.75,251.5,236.0,239.8,239.8,526,3327.0,1253200,371800,05-JAN-2024,
FUTSTK,ABFRL,28-Mar-2024,0.0,XX,251.0,252.05,237.8,241.1,241.1,60,382.72,286000,62400,05-JAN-2024,
FUTSTK,ACC,25-Jan-2024,0.0,XX,2362.05,2413.0,2347.0,2384.6,2384.6,7681,54963.82,3586500,20700,05-JAN-2024,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2384.8,2431.4,2366.95,2406.35,2406.35,347,2501.7,156000,7500,05-JAN-2024,
FUTSTK,ACC,28-Mar-2024,0.0,XX,2424.3,2424.3,2424.3,2424.3,2414.2,3,21.81,3600,600,05-JAN-2024,
FUTSTK,ADANIENT,25-Jan-2024,0.0,XX,3020.0,3086.1,2994.75,3024.65,3024.65,14909,136068.84,13087200,-234600,05-JAN-2024,
FUTSTK,ADANIENT,29-Feb-2024,0.0,XX,3047.65,3113.65,3022.35,3050.25,3050.25,944,8700.25,382500,51900,05-JAN-2024,
FUTSTK,ADANIENT,28-Mar-2024,0.0,XX,3090.0,3134.0,3052.0,3076.45,3076.45,83,772.5,27900,-2400,05-JAN-2024,
FUTSTK,ADANIPORTS,25-Jan-2024,0.0,XX,1131.9,1165.85,1129.45,1157.35,1157.35,27208,250595.97,43460800,-2349600,05-JAN-2024,
FUTSTK,ADANIPORTS,29-Feb-2024,0.0,XX,1141.35,1175.0,1140.05,1166.85,1166.85,1467,13614.92,912000,28000,05-JAN-2024,
FUTSTK,ADANIPORTS,28-Mar-2024,0.0,XX,1155.35,1184.0,1152.25,1176.55,1176.55,289,2706.01,76800,-27200,05-JAN-2024,
FUTSTK,ALKEM,25-Jan-2024,0.0,XX,5288.0,5298.0,5182.65,5223.1,5223.1,2021,21157.47,933600,72000,05-JAN-2024,
FUTSTK,ALKEM,29-Feb-2024,0.0,XX,5235.0,5275.0,5169.15,5199.7,5199.7,38,395.99,13800,1000,05-JAN-2024,
FUTSTK,ALKEM,28-Mar-2024,0.0,XX,5220.0,5220.0,5220.0,5220.0,5319.65,1,10.44,1600,200,05-JAN-2024,
FUTSTK,AMBUJACEM,25-Jan-2024,0.0,XX,553.0,560.9,540.7,545.25,545.25,8451,83903.67,47394000,356400,05-JAN-2024,
FUTSTK,AMBUJACEM,29-Feb-2024,0.0,XX,557.05,565.2,545.5,549.55,549.55,254,2541.4,498600,48600,05-JAN-2024,
FUTSTK,AMBUJACEM,28-Mar-2024,0.0,XX,567.4,568.6,550.25,553.85,553.85,28,283.03,79200,21600,05-JAN-2024,
FUTSTK,APOLLOHOSP,25-Jan-2024,0.0,XX,5781.65,5842.65,5738.25,5780.85,5780.85,2262,16387.42,1981750,23750,05-JAN-2024,
FUTSTK,APOLLOHOSP,29-Feb-2024,0.0,XX,5844.6,5869.0,5779.5,5820.6,5820.6,41,298.98,18000,500,05-JAN-2024,
FUTSTK,APOLLOHOSP,28-Mar-2024,0.0,XX,5870.4,5870.4,5870.4,5870.4,5843.25,1,7.33,875,0,05-JAN-2024,
FUTSTK,APOLLOTYRE,25-Jan-2024,0.0,XX,453.0,467.8,451.9,463.2,463.2,5604,44034.73,14915800,5100,05-JAN-2024,
FUTSTK,APOLLOTYRE,29-Feb-2024,0.0,XX,454.45,471.0,454.45,466.25,466.25,222,1757.02,270300,22100,05-JAN-2024,
FUTSTK,APOLLOTYRE,28-Mar-2024,0.0,XX,471.0,473.0,465.9,468.0,468.0,24,191.59,34000,8500,05-JAN-2024,
FUTSTK,ASHOKLEY,25-Jan-2024,0.0,XX,181.25,183.15,178.8,180.35,180.35,4597,41619.74,92410000,1670000,05-JAN-2024,
FUTSTK,ASHOKLEY,29-Feb-2024,0.0,XX,183.4,184.5,180.5,181.85,181.85,354,3232.21,4615000,165000,05-JAN-2024,
