INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,48375.0,48489.95,47877.45,47946.65,47946.65,178046,1286113.08,2283615,231420,02-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,48799.95,48819.95,48242.2,48306.2,48306.2,8244,59933.31,180825,8970,02-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,49150.0,49150.0,48500.0,48594.35,48594.35,1546,11317.89,58875,4155,02-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21561.0,21635.0,21439.6,21469.75,21469.75,5617,48302.76,80360,18840,02-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21700.0,21765.8,21599.45,21608.0,21608.0,37,320.45,2000,-160,02-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,0.0,0.0,0.0,21781.45,21680.35,0,0.0,40,0,02-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10450.05,10472.35,10227.55,10383.45,10383.45,7169,55586.91,590775,600,02-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10478.6,10541.55,10276.75,10403.4,10403.4,42,326.53,6900,75,02-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10330.25,10431.0,10330.25,10431.0,10513.15,4,31.18,600,75,02-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21820.0,21869.95,21674.0,21756.75,21756.75,167847,1826343.22,11836050,-785550,02-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21970.05,22001.95,21815.0,21896.35,21896.35,10382,113686.53,1040750,20700,02-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22134.2,22136.0,21958.95,22029.85,22029.85,2987,32909.07,144150,41700,02-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,657.15,665.0,648.0,660.55,660.55,4579,30135.48,10814000,-393000,02-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,661.9,670.05,654.25,665.9,665.9,348,2308.81,2089000,57000,02-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,668.85,674.1,661.0,671.75,671.75,38,254.06,46000,22000,02-JAN-2024,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4697.9,4745.5,4623.3,4728.95,4728.95,1841,10799.62,978500,-20625,02-JAN-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4733.1,4765.35,4669.2,4762.0,4762.0,31,183.29,9750,0,02-JAN-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4763.25,4763.25,4763.25,4763.25,4776.8,1,5.95,250,125,02-JAN-2024,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,23048.95,23575.0,23008.35,23511.25,23511.25,2943,27479.46,172240,24440,02-JAN-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,23283.35,23757.85,23239.0,23709.8,23709.8,56,526.82,1880,440,02-JAN-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,0.0,0.0,0.0,23038.1,23701.15,0,0.0,0,0,02-JAN-2024,
FUTSTK,ABCAPITAL,25-Jan-2024,0.0,XX,167.25,172.7,165.0,171.7,171.7,6513,59794.42,73526400,-356400,02-JAN-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,168.3,173.9,167.0,173.1,173.1,248,2299.95,1868400,48600,02-JAN-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,169.15,174.65,168.0,174.55,174.55,15,140.0,86400,43200,02-JAN-2024,
FUTSTK,ABFRL,25-Jan-2024,0.0,XX,227.95,248.2,227.8,244.15,244.15,18226,113136.53,30258800,-444600,02-JAN-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,230.85,248.7,229.0,245.2,245.2,949,5879.01,803400,52000,02-JAN-2024,
FUTSTK,ABFRL,28-Mar-2024,0.0,XX,231.1,249.5,230.6,246.1,246.1,125,780.51,158600,83200,02-JAN-2024,
FUTSTK,ACC,25-Jan-2024,0.0,XX,2264.9,2295.85,2223.85,2283.6,2283.6,4532,30699.33,3755100,-176100,02-JAN-2024,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2274.6,2314.0,2245.5,2302.85,2302.85,149,1018.67,145500,3000,02-JAN-2024,
FUTSTK,ACC,28-Mar-2024,0.0,XX,0.0,0.0,0.0,2276.0,2303.65,0,0.0,300,0,02-JAN-2024,
FUTSTK,ADANIENT,25-Jan-2024,0.0,XX,2940.0,2974.9,2857.7,2955.5,2955.5,13919,122200.95,13318200,-15300,02-JAN-2024,
FUTSTK,ADANIENT,29-Feb-2024,0.0,XX,2961.35,3000.0,2885.9,2978.0,2978.0,348,3077.44,143700,17400,02-JAN-2024,
FUTSTK,ADANIENT,28-Mar-2024,0.0,XX,2990.0,3014.0,2910.8,2998.25,2998.25,33,294.27,4800,1500,02-JAN-2024,
FUTSTK,ADANIPORTS,25-Jan-2024,0.0,XX,1056.0,1089.75,1036.15,1084.2,1084.2,22291,190632.94,50304800,271200,02-JAN-2024,
FUTSTK,ADANIPORTS,29-Feb-2024,0.0,XX,1059.9,1098.9,1046.0,1092.6,1092.6,628,5416.11,424800,55200,02-JAN-2024,
FUTSTK,ADANIPORTS,28-Mar-2024,0.0,XX,1070.5,1108.05,1055.5,1101.65,1101.65,61,532.72,34400,12800,02-JAN-2024,
FUTSTK,ALKEM,25-Jan-2024,0.0,XX,5154.4,5206.75,5145.85,5181.7,5181.7,1326,13742.58,463000,30800,02-JAN-2024,
FUTSTK,ALKEM,29-Feb-2024,0.0,XX,5197.05,5200.0,5155.0,5178.05,5178.05,36,373.31,11800,1200,02-JAN-2024,
FUTSTK,ALKEM,28-Mar-2024,0.0,XX,5185.0,5215.9,5145.4,5170.65,5170.65,6,62.22,1200,600,02-JAN-2024,
FUTSTK,AMBUJACEM,25-Jan-2024,0.0,XX,539.4,541.0,521.45,533.95,533.95,6836,65339.54,49786200,194400,02-JAN-2024,
