INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,47767.4,47822.65,47340.55,47573.7,47573.7,112409,802728.33,2275950,90375,11-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,48048.3,48155.0,47691.0,47912.9,47912.9,5144,36994.54,202995,2175,11-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,48352.5,48460.75,48000.0,48209.55,48209.55,2013,14564.39,73155,-1950,11-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21426.65,21444.95,21242.25,21323.2,21323.2,1585,13534.78,71600,5640,11-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21565.95,21582.0,21400.0,21452.0,21452.0,19,163.36,1280,0,11-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,21624.0,21624.0,21532.05,21532.05,21532.05,3,25.91,400,80,11-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10451.5,10507.6,10416.0,10461.7,10461.7,3116,24448.06,671250,12450,11-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10519.95,10520.0,10460.0,10498.7,10498.7,49,385.71,9000,525,11-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10508.2,10601.55,10508.2,10601.55,10601.55,2,15.83,3225,0,11-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21758.1,21773.8,21627.0,21678.45,21678.45,113071,1226784.82,11717550,229250,11-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21884.0,21909.4,21768.35,21819.6,21819.6,7543,82365.05,1263150,72650,11-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22018.8,22029.85,21900.0,21944.5,21944.5,1985,21802.43,275550,14350,11-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,609.1,624.9,608.0,622.25,622.25,4884,30195.25,11908000,341000,11-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,615.85,629.7,613.1,627.15,627.15,836,5213.8,2931000,195000,11-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,619.0,632.35,619.0,632.3,632.3,63,395.2,176000,41000,11-JAN-2024,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4958.6,5014.3,4880.0,4890.4,4890.4,2066,12738.45,1002875,-46875,11-JAN-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4992.4,5046.0,4920.0,4930.15,4930.15,114,707.85,19250,2125,11-JAN-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,5050.0,5050.0,4973.65,4973.7,4941.6,4,24.98,2625,500,11-JAN-2024,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,24756.5,25501.15,24550.0,25434.7,25434.7,1692,16980.48,191440,-2600,11-JAN-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,24920.85,25692.0,24818.6,25654.85,25654.85,132,1335.04,5280,1440,11-JAN-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,25120.4,25790.0,25120.4,25790.0,25703.1,4,40.99,240,80,11-JAN-2024,
