INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,45699.95,46358.4,45600.0,45869.25,45869.25,266916,1838206.48,2209785,-205815,18-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,46216.7,46722.1,45967.45,46256.8,46256.8,42861,297560.7,664080,164295,18-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,46500.0,47055.3,46305.65,46613.3,46613.3,5902,41276.25,98610,3780,18-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,20350.05,20604.5,20277.0,20417.15,20417.15,2515,20534.56,92480,5960,18-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,20600.0,20794.45,20490.0,20580.4,20580.4,165,1363.07,6600,2960,18-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,20680.25,20926.25,20680.25,20926.25,20926.25,8,66.65,600,0,18-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10343.75,10536.5,10125.65,10449.3,10449.3,15100,117301.71,761850,-24150,18-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10401.45,10620.0,10180.0,10471.2,10471.2,632,4912.36,18525,975,18-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10399.95,10548.0,10211.7,10513.3,10513.3,18,140.31,3600,150,18-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21461.95,21574.0,21316.8,21527.45,21527.45,227826,2445493.67,11089750,-75950,18-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21650.0,21726.7,21467.2,21675.8,21675.8,60648,655750.12,3400150,1371700,18-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,21800.0,21871.0,21625.0,21831.75,21831.75,6556,71329.95,479650,9250,18-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,603.0,634.0,603.0,611.2,611.2,13200,81384.22,9875000,-935000,18-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,610.0,637.15,607.95,615.8,615.8,3314,20572.53,4045000,119000,18-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,614.1,640.55,612.8,621.65,621.65,146,914.54,240000,7000,18-JAN-2024,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4721.0,4792.7,4658.0,4718.65,4718.65,2386,14088.58,939125,-44750,18-JAN-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4817.9,4833.9,4703.65,4757.95,4757.95,501,2988.94,56500,23125,18-JAN-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4768.95,4833.0,4768.95,4788.1,4788.1,5,29.93,3125,0,18-JAN-2024,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,25650.15,25862.7,25350.0,25795.05,25795.05,1079,11078.35,175600,-4320,18-JAN-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,25936.0,26057.85,25615.0,26013.05,26013.05,256,2651.29,11480,1520,18-JAN-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,0.0,0.0,0.0,26151.35,26054.55,0,0.0,440,0,18-JAN-2024,
FUTSTK,ABCAPITAL,25-Jan-2024,0.0,XX,174.75,176.05,171.0,175.35,175.35,2503,23549.9,59470200,-2851200,18-JAN-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,176.1,177.55,172.55,176.7,176.7,1049,9963.13,7052400,1911600,18-JAN-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,178.95,178.95,175.3,178.1,178.1,13,124.48,388800,16200,18-JAN-2024,
FUTSTK,ABFRL,25-Jan-2024,0.0,XX,223.95,225.0,215.3,223.15,223.15,528,3032.99,28444000,-1367600,18-JAN-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,224.95,225.4,215.3,224.5,224.5,115,665.1,5410600,-299000,18-JAN-2024,
