INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,47811.1,48146.9,47341.05,47391.5,47391.5,196049,1405033.81,2262480,-100530,09-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,48150.0,48466.75,47688.5,47735.6,47735.6,9782,70564.23,200085,2640,09-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,48450.4,48752.0,48005.95,48048.8,48048.8,3004,21804.51,73320,1725,09-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21410.0,21576.0,21249.75,21281.0,21281.0,6426,55042.27,69280,13480,09-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21600.0,21700.0,21405.0,21434.4,21434.4,63,543.78,1320,-80,09-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,21750.0,21822.5,21500.05,21556.3,21556.3,10,86.67,240,80,09-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10432.15,10580.05,10374.1,10393.45,10393.45,6344,49859.33,703275,-11325,09-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10549.95,10600.0,10385.15,10407.0,10407.0,79,623.1,8175,75,09-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10614.35,10614.35,10432.75,10442.4,10442.4,7,55.3,3300,225,09-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21680.2,21807.8,21592.4,21616.85,21616.85,158139,1716497.64,11713500,-46850,09-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21800.0,21938.0,21732.0,21751.6,21751.6,13430,146739.7,1182150,8600,09-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,21940.7,22060.35,21865.5,21884.55,21884.55,3821,41989.57,246400,29900,09-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,603.6,612.15,600.55,606.15,606.15,3209,19475.12,11627000,-370000,09-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,607.5,617.0,605.9,610.6,610.6,401,2451.57,2664000,78000,09-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,617.0,620.5,612.8,617.3,617.3,51,314.81,134000,20000,09-JAN-2024,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4811.85,4995.0,4808.2,4934.6,4934.6,5173,31887.86,1020250,5500,09-JAN-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4848.9,5025.95,4848.9,4974.1,4974.1,262,1627.11,16125,3375,09-JAN-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4907.0,5059.75,4907.0,4990.0,4992.75,10,62.53,2250,375,09-JAN-2024,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,23900.0,24370.0,23777.55,24320.1,24320.1,1240,11970.21,195360,1720,09-JAN-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,24000.0,24562.0,24000.0,24520.2,24520.2,117,1137.84,3000,920,09-JAN-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,0.0,0.0,0.0,24354.45,24588.55,0,0.0,40,0,09-JAN-2024,
FUTSTK,ABCAPITAL,25-Jan-2024,0.0,XX,177.3,177.75,174.95,175.4,175.4,1686,16033.28,69654600,-1528200,09-JAN-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,179.0,179.0,176.5,176.75,176.75,140,1342.47,2165400,21600,09-JAN-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,179.0,179.55,178.25,178.25,178.25,6,57.99,194400,-27000,09-JAN-2024,
FUTSTK,ABFRL,25-Jan-2024,0.0,XX,233.0,234.9,228.5,229.85,229.85,2845,17171.6,31467800,652600,09-JAN-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,233.25,235.55,230.0,231.0,231.0,413,2502.49,1890200,244400,09-JAN-2024,
FUTSTK,ABFRL,28-Mar-2024,0.0,XX,235.55,236.4,231.65,231.7,232.85,52,317.48,366600,23400,09-JAN-2024,
FUTSTK,ACC,25-Jan-2024,0.0,XX,2368.05,2392.1,2308.0,2318.85,2318.85,5537,39159.69,3405600,-174000,09-JAN-2024,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2392.7,2412.05,2329.3,2337.1,2337.1,611,4307.81,123600,-51600,09-JAN-2024,
FUTSTK,ACC,28-Mar-2024,0.0,XX,2397.0,2397.0,2397.0,2397.0,2343.4,2,14.38,5100,0,09-JAN-2024,
FUTSTK,ADANIENT,25-Jan-2024,0.0,XX,2997.6,3087.75,2990.0,3033.3,3033.3,15004,137181.12,13264500,197400,09-JAN-2024,
FUTSTK,ADANIENT,29-Feb-2024,0.0,XX,3021.7,3113.0,3020.0,3056.8,3056.8,1004,9254.61,454500,42600,09-JAN-2024,
FUTSTK,ADANIENT,28-Mar-2024,0.0,XX,3054.2,3136.75,3050.0,3086.35,3086.35,69,642.26,37800,6000,09-JAN-2024,
FUTSTK,ADANIPORTS,25-Jan-2024,0.0,XX,1184.4,1232.4,1181.25,1199.75,1199.75,32439,313101.16,40879200,-2188800,09-JAN-2024,
FUTSTK,ADANIPORTS,29-Feb-2024,0.0,XX,1194.9,1241.6,1191.45,1209.25,1209.25,1794,17464.36,1034400,92000,09-JAN-2024,
FUTSTK,ADANIPORTS,28-Mar-2024,0.0,XX,1205.25,1250.0,1204.0,1220.5,1220.5,185,1816.21,130400,44000,09-JAN-2024,
FUTSTK,ALKEM,25-Jan-2024,0.0,XX,5199.95,5248.0,5167.05,5189.6,5189.6,1364,14223.53,965800,18000,09-JAN-2024,
FUTSTK,ALKEM,29-Feb-2024,0.0,XX,5202.0,5220.0,5161.85,5172.15,5172.15,35,363.52,14400,-200,09-JAN-2024,
FUTSTK,ALKEM,28-Mar-2024,0.0,XX,0.0,0.0,0.0,5220.0,5254.85,0,0.0,1600,0,09-JAN-2024,
FUTSTK,AMBUJACEM,25-Jan-2024,0.0,XX,536.65,540.8,525.55,527.4,527.4,4852,46617.52,47305800,156600,09-JAN-2024,
FUTSTK,AMBUJACEM,29-Feb-2024,0.0,XX,540.55,545.0,530.45,531.7,531.7,224,2168.95,703800,106200,09-JAN-2024,
FUTSTK,AMBUJACEM,28-Mar-2024,0.0,XX,547.0,547.5,535.95,536.25,536.25,13,126.84,100800,10800,09-JAN-2024,
FUTSTK,APOLLOHOSP,25-Jan-2024,0.0,XX,5703.2,5871.95,5703.2,5808.1,5808.1,4441,32238.34,1942750,-10875,09-JAN-2024,
FUTSTK,APOLLOHOSP,29-Feb-2024,0.0,XX,5793.4,5913.2,5785.0,5845.65,5845.65,137,1001.58,18375,1000,09-JAN-2024,
FUTSTK,APOLLOHOSP,28-Mar-2024,0.0,XX,5849.25,5950.0,5849.25,5884.4,5883.05,15,110.67,2500,1250,09-JAN-2024,
FUTSTK,APOLLOTYRE,25-Jan-2024,0.0,XX,459.95,473.4,459.95,470.75,470.75,7162,57159.05,15340800,571200,09-JAN-2024,
FUTSTK,APOLLOTYRE,29-Feb-2024,0.0,XX,464.95,475.5,464.95,473.25,473.25,301,2416.22,270300,1700,09-JAN-2024,
FUTSTK,APOLLOTYRE,28-Mar-2024,0.0,XX,473.0,478.0,470.5,476.55,476.55,34,274.79,34000,-5100,09-JAN-2024,
FUTSTK,ASHOKLEY,25-Jan-2024,0.0,XX,179.0,181.15,177.2,177.7,177.7,3727,33350.78,91400000,645000,09-JAN-2024,
FUTSTK,ASHOKLEY,29-Feb-2024,0.0,XX,181.25,182.75,178.9,179.2,179.2,375,3382.38,5325000,610000,09-JAN-2024,
FUTSTK,ASHOKLEY,28-Mar-2024,0.0,XX,184.15,184.15,180.6,180.7,180.7,23,209.39,815000,65000,09-JAN-2024,
FUTSTK,ASIANPAINT,25-Jan-2024,0.0,XX,3330.0,3330.0,3278.05,3283.05,3283.05,4258,28142.3,4934800,155800,09-JAN-2024,
FUTSTK,ASIANPAINT,29-Feb-2024,0.0,XX,3355.05,3356.75,3306.3,3310.3,3310.3,254,1691.68,103800,14000,09-JAN-2024,
