INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,47100.0,47399.0,46764.55,46842.65,46842.65,203661,1437451.86,2263185,-90405,23-FEB-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,47500.0,47724.0,47120.0,47192.05,47192.05,34740,246926.01,715635,136020,23-FEB-2024,
FUTIDX,BANKNIFTY,25-Apr-2024,0.0,XX,47675.45,48026.75,47469.0,47531.25,47531.25,3386,24241.17,76260,1425,23-FEB-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,20715.9,20833.0,20666.5,20692.45,20692.45,1858,15406.5,101800,8000,23-FEB-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,20841.75,20975.0,20816.3,20837.4,20837.4,325,2716.45,8120,760,23-FEB-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0.0,XX,21024.55,21024.55,21024.55,21024.55,21024.55,2,16.81,680,0,23-FEB-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,11044.25,11139.45,11001.0,11062.8,11062.8,8436,70096.27,513675,-150825,23-FEB-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,11015.0,11146.25,11013.1,11076.05,11076.05,6252,51980.06,481425,252300,23-FEB-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0.0,XX,11043.65,11139.0,10950.35,11052.35,11052.35,51,423.81,5250,75,23-FEB-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,22285.1,22344.45,22207.0,22228.85,22228.85,120520,1341661.09,10244650,-891350,23-FEB-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22413.0,22464.95,22353.8,22374.3,22374.3,33267,372751.9,3230400,687200,23-FEB-2024,
FUTIDX,NIFTY,25-Apr-2024,0.0,XX,22565.0,22599.45,22498.5,22514.0,22514.0,4063,45806.05,796750,58900,23-FEB-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,688.2,691.25,671.35,674.3,674.3,2609,17716.94,7894000,-652000,23-FEB-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,694.7,696.0,676.55,679.65,679.65,1536,10504.18,5571000,802000,23-FEB-2024,
FUTSTK,AARTIIND,25-Apr-2024,0.0,XX,701.0,701.0,682.85,683.9,683.9,50,345.05,443000,27000,23-FEB-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,5435.15,5515.15,5329.35,5405.6,5405.6,11697,79148.44,1415125,-232375,23-FEB-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,5459.25,5545.75,5366.6,5437.85,5437.85,5068,34534.77,466500,99625,23-FEB-2024,
FUTSTK,ABB,25-Apr-2024,0.0,XX,5490.05,5568.8,5420.0,5470.65,5470.65,48,329.14,18125,-125,23-FEB-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,28740.05,28989.8,28639.9,28725.8,28725.8,622,7169.5,162360,-8600,23-FEB-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,29100.55,29195.5,28851.05,28933.05,28933.05,421,4887.46,35960,12040,23-FEB-2024,
FUTSTK,ABBOTINDIA,25-Apr-2024,0.0,XX,29216.15,29216.15,29200.0,29200.0,29036.85,2,23.36,680,80,23-FEB-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,185.05,188.45,183.3,187.35,187.35,3848,38620.16,51132600,-1782000,23-FEB-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,186.85,189.7,184.5,188.6,188.6,2759,27830.37,18349200,7209000,23-FEB-2024,
FUTSTK,ABCAPITAL,25-Apr-2024,0.0,XX,187.45,190.55,186.8,189.5,189.5,14,143.08,615600,48600,23-FEB-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,227.05,228.9,225.0,226.0,226.0,362,2132.31,33646600,-941200,23-FEB-2024,
FUTSTK,ABFRL,28-Mar-2024,0.0,XX,229.4,230.35,226.5,227.8,227.8,93,551.9,15363400,-241800,23-FEB-2024,
FUTSTK,ABFRL,25-Apr-2024,0.0,XX,0.0,0.0,0.0,230.5,228.8,0,0.0,522600,0,23-FEB-2024,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2683.75,2723.85,2669.0,2683.15,2683.15,2845,23013.07,4156200,-235200,23-FEB-2024,
FUTSTK,ACC,28-Mar-2024,0.0,XX,2705.0,2743.25,2688.95,2702.05,2702.05,2465,20088.34,822000,393000,23-FEB-2024,
FUTSTK,ACC,25-Apr-2024,0.0,XX,2729.55,2761.45,2712.2,2724.25,2724.25,16,131.57,14100,1200,23-FEB-2024,
FUTSTK,ADANIENT,29-Feb-2024,0.0,XX,3270.0,3329.0,3227.7,3281.05,3281.05,15887,156510.52,12198300,-1065900,23-FEB-2024,
FUTSTK,ADANIENT,28-Mar-2024,0.0,XX,3297.25,3353.45,3252.0,3305.4,3305.4,8873,87999.1,3234600,1447500,23-FEB-2024,
FUTSTK,ADANIENT,25-Apr-2024,0.0,XX,3315.9,3371.65,3290.0,3329.55,3329.55,288,2884.31,242100,-31200,23-FEB-2024,
FUTSTK,ADANIPORTS,29-Feb-2024,0.0,XX,1314.3,1332.0,1296.85,1319.85,1319.85,16383,172695.94,32595200,-2034400,23-FEB-2024,
FUTSTK,ADANIPORTS,28-Mar-2024,0.0,XX,1321.8,1341.55,1306.7,1329.25,1329.25,6734,71488.52,6494400,2531200,23-FEB-2024,
FUTSTK,ADANIPORTS,25-Apr-2024,0.0,XX,1334.9,1351.0,1318.0,1341.05,1341.05,215,2299.58,274400,37600,23-FEB-2024,
FUTSTK,ALKEM,29-Feb-2024,0.0,XX,5402.8,5467.95,5350.0,5412.6,5412.6,1620,17548.16,1432600,-31800,23-FEB-2024,
