INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,47656.8,48047.0,47568.6,47840.15,47840.15,155583,1116345.18,2013795,-262155,12-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,47990.0,48371.95,47908.55,48170.2,48170.2,8939,64598.96,202545,-450,12-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,48309.55,48660.0,48221.0,48473.6,48473.6,2348,17067.72,74625,1470,12-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21380.95,21485.3,21310.0,21393.05,21393.05,1670,14294.24,76440,4840,12-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21504.95,21609.0,21446.6,21551.25,21551.25,31,267.14,1360,80,12-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,21622.0,21779.2,21533.45,21728.2,21728.2,7,60.68,400,0,12-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10501.0,10555.0,10461.8,10529.75,10529.75,3555,28010.41,690750,19500,12-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10501.5,10610.0,10499.95,10566.35,10566.35,72,568.96,9750,750,12-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10543.95,10561.0,10543.95,10544.5,10679.75,4,31.64,3225,0,12-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21745.0,21995.0,21731.0,21947.0,21947.0,150912,1651145.58,11930100,212550,12-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21891.0,22130.85,21867.0,22089.3,22089.3,19308,212612.05,1485750,222600,12-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,21910.0,22250.0,21910.0,22210.5,22210.5,6512,72122.7,390050,114500,12-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,622.35,631.5,617.1,618.85,618.85,3517,21979.63,12054000,146000,12-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,627.5,636.35,622.45,624.05,624.05,734,4622.81,3222000,291000,12-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,636.0,641.0,628.25,628.25,628.25,44,280.15,201000,25000,12-JAN-2024,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4901.6,4910.0,4777.9,4800.6,4800.6,2484,14948.66,994750,-8125,12-JAN-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4931.9,4931.9,4826.4,4841.6,4841.6,195,1184.18,27250,8000,12-JAN-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4935.0,4935.0,4865.1,4878.0,4851.55,8,48.97,3000,375,12-JAN-2024,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,25348.5,25974.9,25299.9,25825.85,25825.85,1629,16722.38,192200,760,12-JAN-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,25559.35,26176.0,25559.35,26052.3,26052.3,113,1170.53,5960,680,12-JAN-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,0.0,0.0,0.0,25790.0,26110.9,0,0.0,240,0,12-JAN-2024,
FUTSTK,ABCAPITAL,25-Jan-2024,0.0,XX,182.55,182.55,178.7,179.5,179.5,2389,23189.85,68250600,129600,12-JAN-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,183.0,183.0,180.15,181.2,181.2,226,2212.77,2781000,75600,12-JAN-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,182.5,184.0,182.0,182.3,182.3,17,167.72,351000,43200,12-JAN-2024,
