INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,47849.85,48086.85,47763.75,47931.95,47931.95,172345,1239038.88,1998315,-285300,03-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,48224.25,48420.0,48123.8,48270.9,48270.9,6858,49650.57,190350,9525,03-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,48501.0,48719.05,48421.9,48551.2,48551.2,1621,11806.61,65850,6975,03-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21419.95,21465.55,21341.4,21369.95,21369.95,1134,9708.17,77000,-3360,03-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21580.85,21588.65,21461.6,21518.55,21518.55,14,120.54,1800,-200,03-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,0.0,0.0,0.0,21781.45,21585.35,0,0.0,40,0,03-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10372.0,10475.55,10303.95,10402.85,10402.85,4335,33820.81,630300,39525,03-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10380.0,10498.6,10305.0,10424.25,10424.25,44,343.79,6975,75,03-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10386.45,10598.15,10386.45,10598.15,10598.15,2,15.73,600,0,03-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21729.9,21729.9,21579.0,21600.0,21600.0,135616,1468197.51,11837550,1500,03-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21859.85,21859.85,21720.0,21738.1,21738.1,10317,112394.45,1071100,30350,03-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22029.85,22029.85,21851.1,21872.6,21872.6,2738,30020.77,172000,27850,03-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,660.55,660.55,648.0,655.25,655.25,3135,20540.65,10745000,-69000,03-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,665.15,665.2,653.5,660.3,660.3,505,3332.62,2251000,162000,03-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,666.0,667.15,660.0,666.35,666.35,11,73.1,50000,4000,03-JAN-2024,
