INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,47280.0,47666.0,47201.0,47606.85,47606.85,152100,1083368.29,2185575,-76905,10-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,47659.95,47993.85,47580.0,47938.1,47938.1,6890,49409.3,200820,735,10-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,48000.0,48283.0,47900.0,48223.8,48223.8,2689,19405.0,75105,1785,10-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21250.0,21357.15,21190.5,21333.1,21333.1,1422,12103.64,65960,-3320,10-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21400.05,21503.25,21340.95,21439.6,21439.6,14,119.97,1280,-40,10-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,21525.2,21766.6,21500.0,21655.25,21655.25,8,69.13,320,80,10-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10398.55,10471.8,10285.05,10440.0,10440.0,6433,50046.94,658800,-44475,10-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10406.95,10490.0,10305.85,10470.65,10470.65,86,670.44,8475,300,10-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10409.65,10497.55,10357.45,10485.5,10485.5,4,31.3,3225,-75,10-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21579.8,21737.0,21501.0,21709.1,21709.1,139789,1510624.36,11488300,-225200,10-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21725.0,21870.0,21641.0,21843.45,21843.45,9041,98322.13,1190500,8350,10-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,21817.55,21993.45,21775.65,21966.45,21966.45,3024,33086.9,261200,14800,10-JAN-2024,
FUTSTK,AARTIIND,25-Jan-2024,0.0,XX,606.15,609.15,599.85,606.3,606.3,1737,10515.63,11567000,-60000,10-JAN-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,610.4,612.85,605.0,610.9,610.9,289,1763.89,2736000,72000,10-JAN-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,612.9,617.9,612.9,616.45,616.45,13,80.1,135000,1000,10-JAN-2024,
FUTSTK,ABB,25-Jan-2024,0.0,XX,4939.95,4970.0,4881.65,4958.6,4958.6,3047,18780.48,1049750,29500,10-JAN-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4980.0,5005.45,4929.7,4996.4,4996.4,172,1068.4,17125,1000,10-JAN-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4990.0,5017.5,4982.0,5017.5,5007.45,4,24.96,2125,-125,10-JAN-2024,
FUTSTK,ABBOTINDIA,25-Jan-2024,0.0,XX,24380.05,24694.9,24169.1,24646.25,24646.25,1435,14004.71,194040,-1320,10-JAN-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,24462.9,24897.6,24377.5,24854.25,24854.25,173,1695.14,3840,840,10-JAN-2024,
