INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,45205.35,46012.0,45011.3,45732.5,45732.5,298779,2041137.05,3312855,89745,13-FEB-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,45175.0,46329.15,45175.0,46033.85,46033.85,18189,125131.78,285870,-21060,13-FEB-2024,
FUTIDX,BANKNIFTY,25-Apr-2024,0.0,XX,45771.45,46660.9,45700.0,46363.3,46363.3,4083,28301.83,50925,1860,13-FEB-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,20000.0,20346.2,20000.0,20264.85,20264.85,10447,84527.64,85840,-10600,13-FEB-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,20166.5,20485.0,20166.5,20406.3,20406.3,110,895.65,3400,-480,13-FEB-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0.0,XX,20499.95,20555.0,20499.95,20545.55,20545.55,4,32.83,280,40,13-FEB-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10640.35,10700.5,10520.0,10684.05,10684.05,9315,74280.89,756075,-96075,13-FEB-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10655.1,10701.05,10533.0,10689.9,10689.9,221,1763.74,16125,1800,13-FEB-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0.0,XX,10761.15,10761.15,10509.65,10689.75,10689.75,62,493.79,2625,150,13-FEB-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21720.2,21844.25,21626.55,21823.75,21823.75,138222,1503870.32,11995600,144100,13-FEB-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,21872.95,21981.6,21780.0,21965.25,21965.25,10134,110998.61,998700,26900,13-FEB-2024,
FUTIDX,NIFTY,25-Apr-2024,0.0,XX,21997.2,22129.75,21931.0,22114.65,22114.65,2534,27948.83,380100,18950,13-FEB-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,678.1,678.1,653.1,665.65,665.65,5316,35276.5,9865000,-585000,13-FEB-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,683.4,683.4,658.0,670.9,670.9,1103,7376.9,2659000,295000,13-FEB-2024,
FUTSTK,AARTIIND,25-Apr-2024,0.0,XX,676.05,681.55,666.0,675.65,675.65,69,464.23,346000,21000,13-FEB-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4449.15,4489.9,4383.05,4465.1,4465.1,3611,20066.28,1395125,16750,13-FEB-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4462.7,4515.0,4420.0,4490.9,4490.9,479,2686.04,73125,32875,13-FEB-2024,
FUTSTK,ABB,25-Apr-2024,0.0,XX,4535.25,4549.15,4504.5,4525.1,4525.1,22,124.75,3750,0,13-FEB-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,28800.55,29061.25,28569.5,29007.4,29007.4,749,8636.69,192760,720,13-FEB-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,29077.0,29264.3,28826.3,29209.15,29209.15,83,965.32,4480,1920,13-FEB-2024,
FUTSTK,ABBOTINDIA,25-Apr-2024,0.0,XX,0.0,0.0,0.0,28000.0,29271.85,0,0.0,360,0,13-FEB-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,181.0,182.45,176.7,181.2,181.2,2784,27107.65,61246800,-70200,13-FEB-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,181.45,183.6,178.0,182.5,182.5,398,3897.32,2905200,162000,13-FEB-2024,
FUTSTK,ABCAPITAL,25-Apr-2024,0.0,XX,183.6,184.95,180.0,184.35,184.35,12,118.32,486000,27000,13-FEB-2024,
FUTSTK,ABFRL,29-Feb-2024,0.0,XX,240.3,243.9,230.05,241.4,241.4,735,4521.02,47117200,-1908400,13-FEB-2024,
FUTSTK,ABFRL,28-Mar-2024,0.0,XX,238.4,239.8,228.0,236.35,236.35,25,151.13,2020200,-65000,13-FEB-2024,
FUTSTK,ABFRL,25-Apr-2024,0.0,XX,238.5,238.5,238.5,238.5,243.9,2,12.4,226200,-5200,13-FEB-2024,
FUTSTK,ACC,29-Feb-2024,0.0,XX,2633.55,2642.85,2574.0,2627.45,2627.45,3847,30137.79,4364400,-116700,13-FEB-2024,
FUTSTK,ACC,28-Mar-2024,0.0,XX,2655.65,2659.7,2594.6,2645.7,2645.7,320,2520.38,119400,9600,13-FEB-2024,
FUTSTK,ACC,25-Apr-2024,0.0,XX,2672.15,2672.15,2670.9,2670.9,2649.7,2,16.02,9600,600,13-FEB-2024,
FUTSTK,ADANIENT,29-Feb-2024,0.0,XX,3194.45,3202.35,3101.8,3187.45,3187.45,9830,93050.76,13030200,-57000,13-FEB-2024,
FUTSTK,ADANIENT,28-Mar-2024,0.0,XX,3207.6,3225.0,3128.65,3212.75,3212.75,377,3590.33,591300,9900,13-FEB-2024,
FUTSTK,ADANIENT,25-Apr-2024,0.0,XX,3222.2,3250.0,3165.45,3242.25,3242.25,25,240.31,240000,-1200,13-FEB-2024,
FUTSTK,ADANIPORTS,29-Feb-2024,0.0,XX,1253.75,1272.95,1230.0,1268.3,1268.3,8299,83321.3,35707200,108000,13-FEB-2024,
FUTSTK,ADANIPORTS,28-Mar-2024,0.0,XX,1263.3,1282.0,1239.9,1277.4,1277.4,505,5100.67,1260000,24800,13-FEB-2024,
FUTSTK,ADANIPORTS,25-Apr-2024,0.0,XX,1275.95,1290.6,1248.9,1285.7,1285.7,81,825.97,185600,-4800,13-FEB-2024,
FUTSTK,ALKEM,29-Feb-2024,0.0,XX,5170.3,5298.15,5150.0,5278.1,5278.1,2617,27448.46,1331400,-15400,13-FEB-2024,
FUTSTK,ALKEM,28-Mar-2024,0.0,XX,5189.6,5302.3,5157.8,5289.75,5289.75,133,1394.81,41200,800,13-FEB-2024,
FUTSTK,ALKEM,25-Apr-2024,0.0,XX,5288.0,5288.0,5288.0,5288.0,5364.4,3,31.72,1200,-400,13-FEB-2024,
FUTSTK,AMBUJACEM,29-Feb-2024,0.0,XX,566.6,571.25,555.3,569.75,569.75,4931,50063.66,50292000,309600,13-FEB-2024,
FUTSTK,AMBUJACEM,28-Mar-2024,0.0,XX,569.45,575.0,559.55,573.85,573.85,416,4251.67,1690200,192600,13-FEB-2024,
FUTSTK,AMBUJACEM,25-Apr-2024,0.0,XX,565.0,577.45,565.0,577.45,577.45,14,143.73,124200,1800,13-FEB-2024,
FUTSTK,APOLLOHOSP,29-Feb-2024,0.0,XX,6626.3,6764.0,6612.05,6734.9,6734.9,6752,56690.51,2184250,56500,13-FEB-2024,
FUTSTK,APOLLOHOSP,28-Mar-2024,0.0,XX,6683.15,6806.55,6654.65,6778.9,6778.9,305,2575.43,38500,4500,13-FEB-2024,
FUTSTK,APOLLOHOSP,25-Apr-2024,0.0,XX,6799.0,6848.7,6799.0,6830.0,6830.0,20,170.45,4750,125,13-FEB-2024,
FUTSTK,APOLLOTYRE,29-Feb-2024,0.0,XX,515.95,519.5,505.0,512.2,512.2,2796,24308.88,10745700,901000,13-FEB-2024,
FUTSTK,APOLLOTYRE,28-Mar-2024,0.0,XX,517.5,522.5,509.0,515.15,515.15,138,1211.78,474300,28900,13-FEB-2024,
FUTSTK,APOLLOTYRE,25-Apr-2024,0.0,XX,522.5,524.3,509.65,517.8,517.8,7,61.53,61200,-1700,13-FEB-2024,
FUTSTK,ASHOKLEY,29-Feb-2024,0.0,XX,170.3,174.45,168.3,172.55,172.55,423,3625.91,98590000,-2115000,13-FEB-2024,
FUTSTK,ASHOKLEY,28-Mar-2024,0.0,XX,173.35,175.45,170.25,173.75,173.75,31,267.66,9250000,-155000,13-FEB-2024,
FUTSTK,ASHOKLEY,25-Apr-2024,0.0,XX,172.7,173.9,172.7,173.9,175.25,2,17.33,1795000,-10000,13-FEB-2024,
FUTSTK,ASIANPAINT,29-Feb-2024,0.0,XX,2969.85,2987.85,2952.0,2977.1,2977.1,6701,39842.83,7833800,-292400,13-FEB-2024,
FUTSTK,ASIANPAINT,28-Mar-2024,0.0,XX,2990.2,3008.4,2973.55,2999.15,2999.15,597,3575.55,478400,-1400,13-FEB-2024,
FUTSTK,ASIANPAINT,25-Apr-2024,0.0,XX,3010.35,3033.5,3002.35,3025.1,3025.1,71,428.88,80400,2800,13-FEB-2024,
FUTSTK,ASTRAL,29-Feb-2024,0.0,XX,1950.0,1954.0,1882.05,1904.55,1904.55,2963,20806.21,3090140,-82942,13-FEB-2024,
FUTSTK,ASTRAL,28-Mar-2024,0.0,XX,1955.5,1962.15,1896.5,1916.75,1916.75,215,1518.69,71198,11010,13-FEB-2024,
FUTSTK,ASTRAL,25-Apr-2024,0.0,XX,1969.05,1969.05,1920.55,1923.0,1925.15,10,71.37,6973,1101,13-FEB-2024,
FUTSTK,ATUL,29-Feb-2024,0.0,XX,6394.0,6430.25,6336.55,6413.95,6413.95,882,4233.8,335175,-10950,13-FEB-2024,
FUTSTK,ATUL,28-Mar-2024,0.0,XX,6406.3,6460.0,6370.0,6445.05,6445.05,102,490.55,27150,1500,13-FEB-2024,
FUTSTK,ATUL,25-Apr-2024,0.0,XX,6444.55,6489.3,6444.55,6480.1,6480.3,4,19.42,2025,300,13-FEB-2024,
FUTSTK,AUBANK,29-Feb-2024,0.0,XX,598.15,604.3,590.05,596.4,596.4,5892,35194.35,19764000,245000,13-FEB-2024,
FUTSTK,AUBANK,28-Mar-2024,0.0,XX,600.05,605.05,591.7,598.2,598.2,483,2890.79,1598000,120000,13-FEB-2024,
FUTSTK,AUBANK,25-Apr-2024,0.0,XX,598.0,605.35,595.0,599.3,599.3,36,215.94,235000,5000,13-FEB-2024,
FUTSTK,AUROPHARMA,29-Feb-2024,0.0,XX,1024.5,1039.8,994.1,1025.7,1025.7,882,9968.84,23707200,-944900,13-FEB-2024,
FUTSTK,AUROPHARMA,28-Mar-2024,0.0,XX,1026.0,1037.95,1008.15,1035.75,1035.75,22,248.81,763400,-23100,13-FEB-2024,
FUTSTK,AUROPHARMA,25-Apr-2024,0.0,XX,1032.45,1053.75,1032.45,1051.3,1040.15,3,34.51,125400,-3300,13-FEB-2024,
