INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,46580.0,46885.75,46350.0,46503.4,46503.4,173764,1213698.25,2814450,-7560,16-FEB-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,46998.0,47175.2,46650.05,46805.45,46805.45,12614,88673.15,318975,20775,16-FEB-2024,
FUTIDX,BANKNIFTY,25-Apr-2024,0.0,XX,47290.0,47477.0,47002.05,47145.65,47145.65,2666,18875.44,62385,3210,16-FEB-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,20506.85,20600.0,20441.0,20512.65,20512.65,1625,13335.52,78400,-4160,16-FEB-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,20650.0,20745.05,20607.7,20667.1,20667.1,51,421.65,3720,120,16-FEB-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0.0,XX,20808.15,20855.45,20808.15,20809.0,20809.0,3,24.98,200,0,16-FEB-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10950.65,11055.0,10912.05,11028.0,11028.0,5123,42183.3,678750,2100,16-FEB-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10927.45,11050.0,10910.0,11023.0,11023.0,496,4082.64,25500,3600,16-FEB-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0.0,XX,10929.25,11038.25,10929.25,11013.4,11013.4,18,148.01,4200,525,16-FEB-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,22060.2,22139.95,22039.45,22097.8,22097.8,108026,1193325.93,11613300,162650,16-FEB-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22165.05,22277.65,22165.05,22242.25,22242.25,14371,159745.34,1246500,91550,16-FEB-2024,
FUTIDX,NIFTY,25-Apr-2024,0.0,XX,22349.0,22417.0,22317.55,22379.35,22379.35,4053,45327.8,556100,77600,16-FEB-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,687.5,711.0,687.1,696.8,696.8,5214,36517.5,9212000,-380000,16-FEB-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,691.95,716.1,691.95,701.95,701.95,1146,8083.2,3095000,152000,16-FEB-2024,
FUTSTK,AARTIIND,25-Apr-2024,0.0,XX,701.0,720.0,701.0,706.15,706.15,61,433.08,338000,-6000,16-FEB-2024,
