INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Jan-2024,0.0,XX,48580.0,48869.0,48389.4,48535.7,48535.7,120422,878243.28,2052195,-25530,01-JAN-2024,
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,48800.15,49190.0,48715.05,48860.8,48860.8,6601,48446.85,171855,-7485,01-JAN-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,49100.05,49455.0,49019.55,49157.65,49157.65,2036,15041.83,54720,9210,01-JAN-2024,
FUTIDX,FINNIFTY,30-Jan-2024,0.0,XX,21608.55,21749.95,21549.05,21610.05,21610.05,1877,16246.52,61520,-4120,01-JAN-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,21786.75,21975.0,21700.0,21805.85,21805.85,28,244.54,2160,-80,01-JAN-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,21858.55,21858.55,21704.35,21781.45,21781.45,2,17.42,40,40,01-JAN-2024,
FUTIDX,MIDCPNIFTY,29-Jan-2024,0.0,XX,10447.95,10508.0,10418.9,10470.45,10470.45,2806,22034.18,590175,-28350,01-JAN-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10517.2,10522.75,10429.15,10497.05,10497.05,18,141.71,6825,225,01-JAN-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10499.35,10548.75,10499.0,10513.45,10513.45,7,55.2,525,300,01-JAN-2024,
FUTIDX,NIFTY,25-Jan-2024,0.0,XX,21849.8,22025.0,21811.2,21888.9,21888.9,109309,1196856.65,12621600,-168750,01-JAN-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21975.0,22155.45,21947.0,22018.65,22018.65,8829,97246.64,1020050,53000,01-JAN-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22119.95,22288.25,22074.1,22168.75,22168.75,2284,25304.25,102450,45500,01-JAN-2024,
