INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,46599.0,46885.0,46403.0,46638.9,46638.9,153019,1071735.86,2705055,-109395,19-FEB-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,46950.0,47175.45,46718.0,46948.1,46948.1,13243,93375.34,310695,-8280,19-FEB-2024,
FUTIDX,BANKNIFTY,25-Apr-2024,0.0,XX,47220.0,47494.95,47070.0,47260.25,47260.25,1853,13154.57,65205,2820,19-FEB-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,20533.1,20643.45,20500.0,20574.45,20574.45,1643,13528.97,78360,-40,19-FEB-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,20720.0,20792.7,20629.5,20732.25,20732.25,51,422.87,4000,280,19-FEB-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0.0,XX,20830.0,21025.3,20829.45,21025.3,21025.3,5,41.76,280,80,19-FEB-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,11026.15,11053.65,10998.95,11026.95,11026.95,4567,37777.66,718650,39900,19-FEB-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,11023.0,11052.5,10997.75,11025.6,11025.6,556,4600.44,36375,10875,19-FEB-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0.0,XX,10996.65,11051.05,10996.65,11019.95,11019.95,8,66.19,4275,75,19-FEB-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,22142.2,22259.95,22055.0,22171.4,22171.4,108926,1207604.21,11758800,145500,19-FEB-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,22299.95,22399.0,22201.5,22312.05,22312.05,13467,150317.07,1358900,112400,19-FEB-2024,
FUTIDX,NIFTY,25-Apr-2024,0.0,XX,22404.5,22531.1,22338.0,22448.6,22448.6,4178,46921.09,603200,47100,19-FEB-2024,
FUTSTK,AARTIIND,29-Feb-2024,0.0,XX,697.05,697.2,682.0,689.75,689.75,2542,17536.02,8971000,-241000,19-FEB-2024,
FUTSTK,AARTIIND,28-Mar-2024,0.0,XX,702.1,702.25,687.8,694.5,694.5,703,4886.88,3344000,249000,19-FEB-2024,
FUTSTK,AARTIIND,25-Apr-2024,0.0,XX,707.75,707.75,695.8,698.7,698.7,45,315.47,379000,41000,19-FEB-2024,
FUTSTK,ABB,29-Feb-2024,0.0,XX,4532.95,4533.05,4454.0,4501.65,4501.65,2539,14266.22,1474625,37500,19-FEB-2024,
FUTSTK,ABB,28-Mar-2024,0.0,XX,4629.9,4629.9,4488.0,4528.4,4528.4,287,1624.1,96750,5375,19-FEB-2024,
FUTSTK,ABB,25-Apr-2024,0.0,XX,4548.4,4575.85,4539.0,4575.0,4544.0,7,39.9,4250,750,19-FEB-2024,
FUTSTK,ABBOTINDIA,29-Feb-2024,0.0,XX,29486.05,29708.4,29350.0,29562.6,29562.6,695,8201.97,183240,-7160,19-FEB-2024,
FUTSTK,ABBOTINDIA,28-Mar-2024,0.0,XX,29921.6,29925.0,29587.45,29780.2,29780.2,70,832.32,6520,1280,19-FEB-2024,
FUTSTK,ABBOTINDIA,25-Apr-2024,0.0,XX,0.0,0.0,0.0,30079.3,29889.75,0,0.0,520,0,19-FEB-2024,
FUTSTK,ABCAPITAL,29-Feb-2024,0.0,XX,187.7,187.75,184.0,184.75,184.75,1680,16849.59,59610600,-156600,19-FEB-2024,
FUTSTK,ABCAPITAL,28-Mar-2024,0.0,XX,188.65,189.0,185.35,186.15,186.15,425,4292.42,5583600,993600,19-FEB-2024,
